#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#### GAME RULES #####

RULE_RR_4_DOCTRINES;§BReformation Reform§!: Fourth Doctrine;§BReformation Reform§!: Quatrième doctrine;§BReformation Reform§!: Vierte Doktrin;;§BReformation Reform§!: Cuarta Doctrina;;;;;;;;;x

RULE_OPTION_4_DOCTRINES_AUTONOMOUS;Restricted;Restreint;Eingeschränkt;;Restringido;;;;;;;;;x
RULE_OPTION_4_DOCTRINES_AUTONOMOUS_DESC;The fourth doctrine slot is only available if you reform with Autonomous ledership.;La quatrième doctrine n'est disponible que si vous vous réformez avec Autonome hiérarchie.;Die vierte Doktrin ist nur verfügbar, wenn die reformierte Religion Autonom als Anführer hat.;;La cuarta doctrina sólo está disponible si la religión reformada tiene el liderazgo Autónoma.;;;;;;;;;x

RULE_OPTION_O4_DOCTRINES_ALWAYS;Unrestricted;Sans restriction;Uneingeschränkt;;Sin restricciones;;;;;;;;;x
RULE_OPTION_O4_DOCTRINES_ALWAYS_DESC;The fourth doctrine is always available.;La quatrième doctrine est toujours disponible.;Die vierte Doktrin ist immer verfügbar.;;La cuarta doctrina está siempre disponible.;;;;;;;;;x

RR_religion_4th_slot_dummy;Religious Head;Chef religieux;Religiöses Oberhaupt;;Líder espiritual;;;;;;;;;x
RR_religion_4th_slot_dummy_desc;There will be a religious head to guide the believers.;Il y aura un chef religieux pour guider les croyants.;Es wird ein religiöses Oberhaupt geben, das die Gläubigen führt.;;Habrá un líder espiritual para guiar a los creyentes.;;;;;;;;;x

RR_tooltip_religion_no_effect;§YThis doctrine has no effect. If you choose Autonomous leadership you will be able to use this slot for a real doctrine.§!;§YCette doctrine n'a aucun effet. Si vous choisissez Autonome hiérarchie, vous pourrez choisir une véritable quatrième doctrine.§!;§YDiese Doktrin hat keine Wirkung. Wenn Sie Autonom fur Anführer wählen, können Sie eine echte vierte Doktrin auswählen.§!;;§YEsta doctrina no tiene efecto. Si eliges la Autónoma liderazgo podrás seleccionar una cuarta doctrina real.§!;;;;;;;;;x

RR_tooltip_religion_bonus_doctrine;§GYou can select a 4th doctrine§!;§GVous pouvez choisir une quatrième doctrine§!;§GSie können eine vierte Doktrin auswählen§!;;§GPuede seleccionar una cuarta doctrina§!;;;;;;;;;x

RR_tooltip_religion_lose_bonus_doctrine;§RYou will have to repalce one of your doctrines with the Religious Head doctrine that has no effect§!;§RVous devrez remplacer une de vos doctrines par la doctrine Chef religieux qui n'a aucun effet§!;§Sie mussen eine euren Doktrinen mit der Religiöses Oberhaupt Doktrin ersetzen, die keine Wirkung hat§!;;§RTendrás que repalzar una de tus doctrinas contigo Líder espiritual doctrina que no tiene efecto§!;;;;;;;;;x

#### MISC FEATURES #####

RR_tooltip_no_priests;§YPriests cannot ruler provinces and will become feudal if promoted to count tier or higher§!;§YLes prêtres ne peuvent pas gouverner les provinces et deviendront féodaux s'ils sont promus au rang de comte ou à un rang supérieur§!;§YPriester können keine Provinzen regieren und werden feudal, wenn sie auf die Grafschaft oder höher befördert werden§!;;§YLos sacerdotes no pueden gobernar provincias y se convertirán en feudales si son promovidos a nivel de conde o superior§!;;;;;;;;;x

RR_tooltip_imperial_vote_strength_emperor_heir_designation;The [Root.GetTitle]'s religion allows §Yheir designation§!;La religion [Root.GetDuDela] [Root.GetTitle] permet la §Ydésignation de son héritier§!;Die Religion [Root.Getdesder] [Root.GetTitle][Root.GetsMale] erlaubt §YErbenbezeichnung§!;;La religión [Root.GetDelDela] [Root.GetTitle] permite la §Ydesignación de heredero§!;;;;;;;;;x

religion_dogmatic_feature;Religious doctrine is strictly enforced;La doctrine religieuse est strictement appliquée;Die Religiöse Doktrin wird streng durchgesetzt;;La doctrina religiosa se aplica estrictamente;;;;;;;;;x

RR_tooltip_religion_monastic_order;§GFollowers can join a monastic order§!;§GLes adeptes peuvent rejoindre un ordre monastique§!;§GAnhänger können sich einer Mönchsordnung anschließen§!;;§GLos seguidores pueden unirse a una orden monástica§!;;;;;;;;;x

RR_tooltip_religion_monastic_feudal;§GMonastic Feudal government is enabled for Tibetan rulers§!;§GLe gouvernement féodal monastique est activé pour les dirigeants tibétains§!;§GDie monastischfeudale Regierung wird für tibetische Herrscher aktiviert§!;;§GEl gobierno feudal monástico está habilitado para los gobernantes tibetanos§!;;;;;;;;;x

EVTDESC_RR_200;[saint_person.GetFirstName] was a true exemplar of the [saint_person.Religion.GetName] faith, living a pious and inspiring life. Many tales are told about the feats [saint_person.GetSheHe] did in life, and [saint_person.GetSheHe] will be an inspiration for our descendants in the years to come.\n\nIt is a great honor for the family of the blessed one, and may we all aspire to follow in [saint_person.GetHerHis] footsteps.;[saint_person.GetFirstName] était un exemple pour la foi [saint_person.Religion.GetName], tant sa vie fut pieuse et inspirante. De nombreux contes sont racontés sur ses exploits et [saint_person.GetIlElle] sera une source d'inspiration pour nos descendants.\n\nC'est un grand honneur pour la famille [saint_person.GetDuDela] bienheureu[saint_person.GetXSe] et nous pouvons tous aspirer à suivre ses traces.;[saint_person.GetFirstName] war ein wahres Vorbild für den [saint_person.Religion.GetName]en Glauben und lebte ein frommes und inspirierendes Leben. Man erzählt sich viele Geschichten über die Taten, die [saint_person.GetSheHe] im Leben vollbracht hat und [saint_person.GetSheHe] wird für unsere Nachkommen eine große inspiration sein.\n\nFür die Familie des Gesegneten ist es eine große Ehrte und wir alle mögen danach streben [saint_person.GetHerHis]en Schritten zu folgen.;;[saint_person.GetFirstName] fue un verdadero ejemplo del credo [saint_person.Religion.GetName], con una vida piadosa e inspiradora. Muchas historias se cuentan de los logros que consiguió en vida y será una inspiración para nuestros descendientes en años venideros.\n\nEs un gran honor para la familia [saint_person.GetDelDela] bendit[saint_person.GetOA] y ojalá todos podamos seguir sus pasos.;;;;;x

RR_religion_untamed;Untamed;Sauvage;Ungezähmt;;Salvaje;;;;;;;;;x
RR_religion_untamed_desc;The gods do not want us to forget the old ways and become soft and weak.;Les dieux ne veulent pas que nous oublions les anciennes méthodes et que nous devenions mous et faibles.;Die Götter wollen nicht, dass wir die alten Wege vergessen und weich und schwach werden.;;Los dioses no quieren que olvidemos los viejos caminos y nos volvamos suaves y débiles.;;;;;;;;;x

RR_tooltip_religion_feature_raiding;§GLooting is allowed§!;§GPiller est permis§!;§GPlünderungen sind erlaubt§!;;§GSe permite el saqueo§!;;;;;;;;;x

RR_charity_decision;Give Large Donation;Faire un don important;Große Spende geben;;Dar gran donación;;;;;;;;;x

RR_charity_decision_desc;It would be sinful to keep all this money for myself when there are so many people in need;Ce serait un péché de garder tout cet argent pour moi alors qu'il y a tant de personnes dans le besoin.;Es wäre sündig, all dieses Geld für mich zu behalten, wenn so viele Menschen in Not sind.;;Sería pecaminoso guardar todo este dinero para mí cuando hay tanta gente necesitada;;;;;;;;;;x

